lauf=2026-09-26T13:14:03+00:00
13|2026-09-26|stark|insolvent|GNews Insolvenzantrag|Familienunternehmen aus Bayern ist insolvent – „Schritt ist uns nicht leichtgefallen“ - TZ|Familienunternehmen aus Bayern ist insolvent – „Schritt ist uns nicht leichtgefallen“ TZ|https://news.google.com/rss/articles/CBMirwFBVV95cUxQellmaXpqNm9fYlRrRGlEZS1OUHJRb0FHNnVNbTNwdHhVNlJ5TTJCcWhUTkJQd2ItRE4xNmtDVjI2NDNLTEVfRkFLU01JTF9xcVMzSzcxX2plcmJXbFVRMElkUVU4dVN4QmxaMV8wWFJXTEdzSUVDaXRXaFBjWGZyRDZaQVJOVS1XN2pGcmdkSnlycVFjbTNRSHoxX2k3bG45X2Rfa1RxdWRqRGF6cEVj?oc=5
14|2026-09-25|stark|insolvent|GNews Insolvenzantrag|Oberpfälzer Unternehmen mit über 300 Beschäftigten insolvent: So geht es jetzt weiter - mittelbayerische.de|Oberpfälzer Unternehmen mit über 300 Beschäftigten insolvent: So geht es jetzt weiter mittelbayerische.de|https://news.google.com/rss/articles/CBMi8wFBVV95cUxPSlgzMXAwR0lWcjlENjNMNjJ0VUVla3FhNDJ2VXhhaWRfUDVXazJSZnNUQVc1M2NySHUyMnJpSWg3UHAydDlSSW5FRWtsNkRsQzVLeU83NFR1NHg0T3hhODFhVlIwc01XN1dCTzh6SXJScTVETHI4Zkl0Q3NYZ2R4cC1VY29yaE5LQ2dzbTkxZnNNc1hxWUZEdU1MUl9GRlU4cDFaang4SUJ4dEJfMHJ6d2d4VjB6d3ZvRzFneUFnRjUzZVVSNm1BV01WdmZia0NvSllSNTNRbmdYQWJyR0xKMFRNUW1KV0Q1TWx3b3VaVHc1Q0k?oc=5
15|2026-09-25|stark|insolvent|GNews Insolvenzantrag|Baukrise in Deutschland: Traditionsfirma aus Bayern ist insolvent – 325 Mitarbeiter betroffen - CHIP|Baukrise in Deutschland: Traditionsfirma aus Bayern ist insolvent – 325 Mitarbeiter betroffen CHIP|https://news.google.com/rss/articles/CBMi-gFBVV95cUxOWW11VWI3N2R0c05ONDlQX0dpeWZDRTNMQXlTR3o0SVhCcC1mbTV6ZVpwMW16d1hfVXVjVC1KSTBSekUyazA3dWlSZ2lKcWJ2SEdSTTRBWUVNQWRFdFNKVGRBR3R6OFJKcncxNWRpNXMtOFktb2FyeDNxcU1pdkNvelFLS3BkTFlUVDVaMjk0amp6TnA2R0thcjNCZ3hnWm96LXlJLVVvWVdFR1R1dXlERlA0UkphbTNORHlIN1h2bjNObmxYM1Nxc0hmZ21mam9vY041bXJtSXBZRmxYQ2pGYVpIWm41Rmcxa3NzWHRGcXdMM1F2amt3Q0Vn?oc=5
16|2026-09-24|stark|meldet Insolvenz,Insolvenz|GNews Insolvenzantrag|Ein Jahr nach 75. Jubiläum: Deutscher Fenster-Hersteller meldet Insolvenz an - BILD|Ein Jahr nach 75. Jubiläum: Deutscher Fenster-Hersteller meldet Insolvenz an BILD|https://news.google.com/rss/articles/CBMizAFBVV95cUxQVVZkNkNHZDBIRjZxSnVmYTI3ZVc0V3VKV0d3Y0dLUUs3RktHcGg3ZDdXb3RGMDFnX0ZsZDJFQnJiMXFPbHhXWGhxUGx3LUpGYzUwbXFwUVA4YWV3aGNRTy1Zc2pDMlZUVG9TUlZjaUhMUzRXb0lxSjFDakZYbUlsdEYyOHJnR3Ewb1hLTWJOeE9leTBvdW9PdWpqbXlaSWkzLXhxa2hZYjFXVENzNVhqTmxkRGpqVG9KMkdtMTd1M0RaNDhSeEc1RVBzY1Q?oc=5
17|2026-09-24|schwach|Insolvenz|GNews Insolvenzantrag|Nach Insolvenz: Großes Krankenhaus schließt aus Kostengründen Schmerzambulanz - SWR|Nach Insolvenz: Großes Krankenhaus schließt aus Kostengründen Schmerzambulanz SWR|https://news.google.com/rss/articles/CBMiugFBVV95cUxPY2dhQ0N4ZUlMQ3Q4Z3dQR3ppNlNwdDY2Sm5DVjU4T3A0RzVNT3JmeGZwdmJEeUVKZmd4ZmZobmwwQ0NWUHRMaFhRUEFnelpwMVZyRnhaMHJfeF9kX2RpOE9vWmRjNUdMUWdDNEpYVWM2UGVZbUV1MFV1UlBPNWt3LWtPaXhsOXNLbXZGbElRT2tES0Nla0NSOGhNVHUxZnpOUmpFZ18wQlp0TXZmMlhVZlpTUC0yaEx4ZGc?oc=5
18|2026-09-24|stark|insolvent|GNews Insolvenzantrag|Autohaus mit 1200 Beschäftigten insolvent: Was wird aus den Standorten in Bayern? - Augsburger Allgemeine|Autohaus mit 1200 Beschäftigten insolvent: Was wird aus den Standorten in Bayern? Augsburger Allgemeine|https://news.google.com/rss/articles/CBMivAFBVV95cUxObWdSOXV5Rkd5enU2YVJZYU9NTWZCdEl1NGs3VWpvajVwQzlka3lTcUdYVlYySlBmMHdFcklUYm42MVlSNHVJQmVuZ2xucUxmN0xoQWZYVHlXX3QxVXV4clFGcFduN2dhYUVQUDJZaWFYZkxwN2Q1X1IyVS1aSThaem5GVUE1WTJNOFNTMHFvWFBScTNhUEhSUzJOOGl5TkpCTzlwNGhfUTN2UF9ja09xX0w2SUxCaHlGSUpXZA?oc=5
19|2026-09-24|stark|insolvent|GNews Insolvenzantrag|Betrieb läuft weiter: Haus Obentraut in Stromberg ist insolvent - Oeffentlicher Anzeiger - Rhein-Zeitung|Betrieb läuft weiter: Haus Obentraut in Stromberg ist insolvent - Oeffentlicher Anzeiger Rhein-Zeitung|https://news.google.com/rss/articles/CBMiuwFBVV95cUxPN3l2S3ZLSzRGNzV1R1Z4TDRSYktTSzFLZlU2aVp4X0h2cXNPaFdjY2pYSnF2QlV1Q1QwX1E3ZTZnZGVTSlVpVFdtZFV5dXFINkZWcVVyeUtyMXIxLU9VMWs1ZHE3bmt3UWZIYTNyYUxKY18xLVlsZTFvYUw0aUNMQW41elZFeldvczZ5ZDQ0SkZBNDhPQ1JnbHZLVnk0RThwY3VMRmVVZXRSNzJqYW1oZlFwTWVicnlRdDR3?oc=5
20|2026-09-25|stark|Insolvenz angemeldet,Insolvenz|GNews Insolvenzantrag|Bad Sobernheim: Ruegenberg GmbH hat Insolvenz angemeldet - allgemeine-zeitung.de|Bad Sobernheim: Ruegenberg GmbH hat Insolvenz angemeldet allgemeine-zeitung.de|https://news.google.com/rss/articles/CBMi-wFBVV95cUxQWHVCMXBLUjFMT1FmY3hmWmFPaGVWNU1ERVlOVXRFQk1reUxLcUdjSnVDd0JNRUUwcHpka25BMndYdE5RVGdOamotRWphcVdWVWVTaHU3UW9Wd1RNZ2MtQ2pyZHFPRTdjUkRIdnlzSmJIcGlqWi1NMlROdDlmTy1vc3BoelBLdkp6ZW5iNXdIaEtXMW1VRkxIWk9CV0pXajdfUFdERWo1UjdMZHhJdllvTUVNTHJ6WWRkeG4tdnZCVU5SQUllUVA4bXZIc0NFbndiaVdjdUtmaEV6S0ZzS194azk5em9pTVY4V29wdENnTlN4cnRzMWYzZmV2cw?oc=5
21|2026-09-24|schwach|Insolvenz|GNews Insolvenzantrag|Kein Auto - und Geld erst nach Jahren zurück: Ärger nach Insolvenz des Autohauses Wahl in Siegen - Siegener Zeitung|Kein Auto - und Geld erst nach Jahren zurück: Ärger nach Insolvenz des Autohauses Wahl in Siegen Siegener Zeitung|https://news.google.com/rss/articles/CBMikwJBVV95cUxQelJsRUpUb0FmQTcwT3o5WkFudjR2aV9tR18wbDZXWHI0X2xuSDFWN2FlZ3pTSTNnb2JLc0I1MUlxMnZ1MC1oQ2dDSWhleE9TYjlQUklBQ2poTlhROHNkSU5XdjZDMzVLTVR4Rm5Sd0ZnSWZxZjhnMzVsUnJMZnV6U2VJNXEzRUNObzNXNFhmQTlsODhrb3oxRWVkTy1nZ29hSENiYkVuUFVaczl5blZEY1hmNXpIaFFGTW8wdUxCS0FzZm54MUk1MnREMTZyd2lLcWJhb3ZCQkEyRllMS0pESkxHV1dkalFKWjdrMHRzOFdsZ0dOY1VONmFkajRpR2U0WnJhcmJoVUU2cW94MUNVUDZBa9IBrwJBVV95cUxNVWV0T2xNanlGMGpXN250eWlkZUFxNWFuQkpOVEp6MDNIS29mbTl5ellJWnVEdnBmbE1TSXNLNUptTmNDR21ydFhmWE1lZTZFX1Nia1N2NUdSQUtBeWRkS2dsSmlHbVlFNHJycHZnLXdCb3RLbDlONml4blQwd3duczg2bWt5OWtCNGNUbi1mMWZyTWw3V2paYmR3UmVmVlJMRUMzcHZIMndkcVhyYzAtelFtQWFBQXAxOFdwdEExQUFRS283X0dYWE4zejRXZ3hEVURlYUlMTnlmMW1wOXNzb2w4cW5lLTlqeDJSakxPWHdIZHl3QmNzQlA0LUtreWdsaFVjbFd3VmFYWXc3cEYyZjk3NUluOWo4N0hnZTB0VGJCM3NWZGpPMmUxYlpGUVk?oc=5
22|2026-09-25|stark|insolvent|GNews Insolvenzantrag|Bäckerei Tillmann aus Balve insolvent: 105 Mitarbeitende betroffen - Westfalenpost|Bäckerei Tillmann aus Balve insolvent: 105 Mitarbeitende betroffen Westfalenpost|https://news.google.com/rss/articles/CBMiugFBVV95cUxQcWtZOThSWVlkWTJfenVrY3VGbEJPS0tGOWVfVndvc2dWWFFoWWoteXJjNC1xS3AyRlJzSkwzaEtBd2JFNUZIMTJFSG5QTW56Z2FvWllKNUVoVjZ5WHI3NmF1ZkFxWTRoVXFhOGZwMVotLWk4TkE2aEY3bjNITEp4andNOFBMeTdDLVB1OWwtRmR3WS1YVVJ1QmxfOWZzT01Ld0VKekIwMXY1M3V4Qi00aFB3MnZ1dnBPQ3c?oc=5
23|2026-09-25|schwach|Insolvenz|GNews Insolvenzantrag|Traditionsunternehmen aus Bayern meldet nach 75 Jahren Insolvenz an – „Schritt nicht leichtgefallen“ - Merkur|Traditionsunternehmen aus Bayern meldet nach 75 Jahren Insolvenz an – „Schritt nicht leichtgefallen“ Merkur|https://news.google.com/rss/articles/CBMiqgFBVV95cUxOenlOR0Y0VHpBUkNLYWx6VUxzbDdmdGhZUVFodEdJTE13Nk1KS0ZhcGViMnBhdElQZ3FsaGlRN3FHMElBSDRXeFRTc2I4ZVZJTmJJSkVIeWJCTFd5Z3RYRkFnbWZGeHV6V0RZS1FZMkk2bUlHN1JwMTVqZFNxakRaUnh6dTZVVEVycVd5UGNuWUhhZmF4SC11ZTF2VjVYaFBYcWk4TzlxYndqdw?oc=5
24|2026-09-24|stark|insolvent|GNews Insolvenzantrag|Bierbrunnen Olpe ist insolvent: Aus nach nur drei Jahren - SauerlandKurier|Bierbrunnen Olpe ist insolvent: Aus nach nur drei Jahren SauerlandKurier|https://news.google.com/rss/articles/CBMitwFBVV95cUxQZHpfLWdxdmxWS1UxYkdkZmlPaTlNTndsMnhtc0tjR09weWlrWnpVdFRPcnRLMnQzUG4zaVYtV2RIcVc5VF9nVU5FLWpSajM5aFRaMy10M2ZvUnFRY1ZBYVVfbWhSendlQnpnc3ZnalF6eGU0Y2VNR2VOVkp3dEh5bklZNHdPNnpNYklFZXN4M0RLdjhfNTZmUmRORW1PYnV4OUZnMW1Fa09FeW9EOXdZVlRMeEJpZGc?oc=5
25|2026-09-23|stark|insolvent,Insolvenz|GNews Insolvenzantrag|Insolvenz: Fenster- und Türenhersteller ist insolvent – 300 Jobs auf der Kippe - T-Online|Insolvenz: Fenster- und Türenhersteller ist insolvent – 300 Jobs auf der Kippe T-Online|https://news.google.com/rss/articles/CBMi2wFBVV95cUxPS1pYYXNhTW9wcTBscDhUXzdWaHBsQnB5amlib1lDUnV5ckhDZTdrSWE1RTBaeF9KN0VlTUhXcGx0dG91WEgzdkk2UVJ5R2hyRjYtN19kWnpoQ1RQbXBTeHk5Y2FpaGdjTE9WWUtNU0FZQ3E3c0JNdE1ZXzFNaTNIRjdESlZyR3o3NU5iVG1ONkdrSlVENk9yaUpkTVZsVWh5UXBiR2VJY3AzT19XcmJIZVFZMWF2LWVNZHUzcWpjSEJZOGo5d00wZUQtYjB0c1MweFRFRDE0VUM1LUE?oc=5
