lauf=2026-09-19T07:43:17+00:00
62|2026-09-17|stark|meldet Insolvenz,Insolvenz|GNews Insolvenzantrag|Cambium Networks meldet Insolvenz an - Swiss IT Reseller|Cambium Networks meldet Insolvenz an Swiss IT Reseller|https://news.google.com/rss/articles/CBMiigFBVV95cUxNZl9YcUwwRGxYR3dRSnZMNDk2aVN3V0k0RFpzSGxGc3VJd3VVZFUzWjZ6RGRxbzBrUGQ1Q3pGaVAxLS0zbVAxZldvclBCel9WeDRLckhrcHhXR0hkdWw2WUJCaFNOM0h4MWxzaG9hVzVWUFpzVWxMeEdubTdNd2Vwc2VMcTgwZmFPdGc?oc=5
63|2026-09-17|stark|insolvent|GNews Insolvenzantrag|Doch noch keine PV-Großanlage in Schönberg: Projektträger insolvent - Kieler Nachrichten|Doch noch keine PV-Großanlage in Schönberg: Projektträger insolvent Kieler Nachrichten|https://news.google.com/rss/articles/CBMi1wFBVV95cUxNSFBmTE03TUJaZTB0cUppZjlVQVN1RXQxcXJvclFsOEo2WjU2YWYyUThwTmJFOGZBZWRxZFFUbDJxVkl4SG56QnVvcDB5OUYya1hjaTBmU2NOT0xQY3VMTTFpb0M1TGhuVjN6dldSSFB5U0puYmFrWktSekY5NG1fcDlTY2JqM2I5UEthMm9YR1NickZfaXlacm01SmRheVMyV3J5bnVuM0YzcG90Zm9UTnJXenBVSVZDNG4zUk05YkRIa21uSE1QMGhxUkpBdmFaNHBIQjdzZ9IB8wFBVV95cUxNSzJnRGZsNWVpRWdQWmFldFplXzVPVkVSR1dXcjRwX3AtR2h3MFdhQjJSVUNYQjJsQ0FqdDNUQlBSelYwanZ0Sl9WRDQxZndoY281YndjckZ3TkdzTGFKYVNUN3U5T0JXZ1o4bFlkaVdtY3VIeXgyWFY2VzE2YlU2LXBCOTlFS19nU2Zvel84THRaSzRROXgzXzY5NUZiQW1iOF9BbnlMRU96TnhpMFF4alJJbi1SYzBUbEs5Q1FEUW9EampnTzQ5cHlQOWNZS01md3lpQmplbzJJLVdkdHU1dHRwdWFUYjdSQUplSURJNUxDMDg?oc=5
64|2026-09-16|schwach|Insolvenz,Pleite|GNews Insolvenzantrag|Pleite eines der größten Autohändler: Insider packt über die Insolvenz von Autohaus König aus - Business Insider Deutschland|Pleite eines der größten Autohändler: Insider packt über die Insolvenz von Autohaus König aus Business Insider Deutschland|https://news.google.com/rss/articles/CBMiqgFBVV95cUxNb0ViVzJFejJXQkRoRnVmbHc5M21IUWx3RFhEWVJWcGNGeF8zZUlPWEM2MUZSOGdfSW5sT29HdmtqTFgyWXZYb3JuVTNYVG9rYTVxVTlNZkhOeTF0LXU1Y2JUakoxYTV2eTlUOTNnUVpHVmN3S19vRGRPOWpBenZHNWFleVk5dkpfN0hQRjJNMjZsTFBvVHVsNXBGYURJVlQ4SEFrOE04TlA3UQ?oc=5
65|2026-09-16|stark|insolvent|GNews Insolvenzantrag|„Verdacht des Betrugs“: Deutscher Autozulieferer insolvent, 552 Jobs in Gefahr – Investor versprach Millionen - OP Online|„Verdacht des Betrugs“: Deutscher Autozulieferer insolvent, 552 Jobs in Gefahr – Investor versprach Millionen OP Online|https://news.google.com/rss/articles/CBMitAFBVV95cUxPVGNkYkM3eHpnbFM5NWlSN25WRC1QWUJfMnh3MTF5U2NNTWlJY0xENllQYXN5N3JiMGZVSHQ3amhxdDFSbF9neHRZcmRhRlN2OXo0c1dxWDllSmJZZFBpY3lIZ0xGZmc2ZzY2QW5rS2k5ZGE5QnNuSXp1Q3NHQ2thV2xiUGR6SklKUjJaRGVUSE5wb3dXdmFseUtwaDV2TUE5QTFjN0hWRnZiYXdMaFI1WUpIUEk?oc=5
66|2026-09-17|stark|Insolvenzantrag,stellt Insolvenzantrag|GNews Insolvenzantrag|Seukendorf: Traditionsbäckerei Gräf stellt Insolvenzantrag - Fürth Aktuell|Seukendorf: Traditionsbäckerei Gräf stellt Insolvenzantrag Fürth Aktuell|https://news.google.com/rss/articles/CBMipAFBVV95cUxQM2pnUy1HTExuSERGaXNIR0d0WUlHQnF2VjdNVHUtaGVSbGV1bTZXZHM0azZVMVp1SFkyWVVJVmlZak81VFVhLTZ0dWwtN3BReHN1dXVuQnJqbHZORnBVNEFfNmZtODVKMkFZYWNSSk0zYUVsSUZUOUFxLUNiSkRBOTBfelhZN3pWTXljZFkweEpiekpqZEZianJYamVpVW5IT3JGbQ?oc=5
67|2026-09-17|stark|Insolvenzantrag,Eigenverwaltung|GNews Insolvenzantrag|PANDION Aktie: Insolvenzantrag in Eigenverwaltung gestellt - Börse Global|PANDION Aktie: Insolvenzantrag in Eigenverwaltung gestellt Börse Global|https://news.google.com/rss/articles/CBMimAFBVV95cUxQMlhtWUJOQ3ZSd3U1T1dVSTBZcHZGRUJLMUVDSHQtb3BJbUZldzVrbmtjTlBjVlhIRVVveU80Tk9Gb2I4bk1KLVlQbVlxQ3JZTml1NEozWVUwYnB2cncwN3BfQTdpS2M2TFh2V2p4S2E1M2xVdTU3SkpoZEpIVEp3VEFQWUhmNkE4blpoakVJdlc3d0xtSlZ2YQ?oc=5
68|2026-09-18|stark|Insolvenzantrag|GNews Insolvenzantrag|Paragon: Aktie bricht nach Insolvenzantrag ein - AD HOC NEWS|Paragon: Aktie bricht nach Insolvenzantrag ein AD HOC NEWS|https://news.google.com/rss/articles/CBMiuAFBVV95cUxOVmFBSHVZenI5ZmtxcWFzdDBaQXE4UzMya1Z3dXcxeXVWYlVoQ1BQY3JDQktTUGN6R2MyM3lNVDN1YjN4aDEtOER2azBvZDl3M0x6ZFFOMWJta3FZMGEzdnlHMDJubzIxSEQ4SlBEVkFTWDJCWGJkc25RTHhEcHQwc1BLX2xwQnFSbEJqek1JbHJBa2RfVnBjNkVzaWVrcTROZ2FHLVlSSUl6RHdUWVRYc1p3clNpcUw2?oc=5
69|2026-09-17|stark|meldet Insolvenz,Insolvenz|GNews Insolvenzantrag|«Volle Kanne»-Moderatorin Ballschuh meldet Insolvenz an - Blick|«Volle Kanne»-Moderatorin Ballschuh meldet Insolvenz an Blick|https://news.google.com/rss/articles/CBMiswFBVV95cUxPczNwX2Z1TExocUVvNEFtbDhVcTVNV1BiV3Y5dWdIcWpzUEhuZXNFZnBLWUYxcXRRdWk5YXhJMThvMmlVbXEwZ1RUVXFWSGdCUFFjUk1JOTNiOTBiWFZBSk9DT2kyOU5JQ1pJbDRqbHl4U2tnR1doUkxoM3RxemxBUWlmWVF1SjQtRUVvY1RlYUJ6RkFFc29HSjhQeFdYVGZkV19SWTVNUE1DMFBZWnZMMmtuYw?oc=5
70|2026-09-16|schwach|Pleite|GNews Insolvenzantrag|Disapo ist pleite - Apotheke Adhoc|Disapo ist pleite Apotheke Adhoc|https://news.google.com/rss/articles/CBMifkFVX3lxTE5IRU9reHBoT1RySy1veE82X0w4WG5iYl9iZjBqd3RkQjhtckF1RFVadTlLZFFSc2xTWWdMc3FEQkl6WUVwb0ZKV2RrUXN0eE8wUUo3TV9PZ3VsM2FVX19zTkZRanJWaUpvdFFXVEVJODZHWTVqMUlFVEtVX3Rudw?oc=5
71|2026-09-16|stark|insolvent|GNews Insolvenzantrag|ZDF-Moderatorin Andrea Ballschuh ist insolvent: 230.000 Euro Schulden - „Das war ein Fehler“ - swp.de|ZDF-Moderatorin Andrea Ballschuh ist insolvent: 230.000 Euro Schulden - „Das war ein Fehler“ swp.de|https://news.google.com/rss/articles/CBMixwFBVV95cUxNMVdfN3habXgzdkUtQnlUT3E1b011aWVNTkdsS294b3FCSFo2M0NzSWYwdVRtOTM1LXVUVGcxRGdKS0hhLVdHNHNOSGtlQUdPaHZCeXpfYzBfeks4aVJza3hHWC1Pbkt4Tjg3amNhYU5qeXBVUndGaWxIdHF6NGJMU3g4TlFRRWU5Nm5Ed19VaWRWRnl6WlY2ZTJZMkR0T3NubFZ2aDhWcVFHUEtXSFdweTR1QmlxQWYxZXdWU0M5MWNGMGNhRUcw?oc=5
72|2026-09-16|stark|Insolvenz angemeldet,Insolvenz|GNews Insolvenzantrag|Insolvenz angemeldet: Traditionsbäckerei im Landkreis Neumarkt kämpft ums Überleben - NN.de|Insolvenz angemeldet: Traditionsbäckerei im Landkreis Neumarkt kämpft ums Überleben NN.de|https://news.google.com/rss/articles/CBMizgFBVV95cUxOLVhFb3hFZWtQNGRwcFIwRndzRUw1TWp5S3pyb3c3NTZyLUpycFl1ekRhcHppOHdHWjNYT2RXOWhjUlN1ZENJQXF0VjNYUDhVVGNDRkg1R21qc0NxX2ZoVjRrWDJoZmY2dlkxelJVcDVNSjRYbnFxYmVCZzAwT0tCSXJxekJ5VHk5Yms0Z3JYOVQzZW5DWWZnSV9SV0Y3RklrZ3Z6cG1EODVPdHdvZVBsSlQtZ1ZFVnhXeVBVTVlPcWpXTUdSLWFpNHU5dmVtZw?oc=5
73|2026-09-16|stark|insolvent|GNews Insolvenzantrag|150 Jahre altes Traditionsunternehmen insolvent – Ostallgäuer Standort auf der Kippe - Allgäuer Zeitung|150 Jahre altes Traditionsunternehmen insolvent – Ostallgäuer Standort auf der Kippe Allgäuer Zeitung|https://news.google.com/rss/articles/CBMi4AFBVV95cUxPcWRCeTZSVGpuSk53UFp3bDkzaHJxTXhBVkVybG5UT2xINlp3NXVxcmc0aHdsZlR3ZkhVQUowVWc5SmM4eHlKakJOZ2llMHBfUC0zdFQ3TEUtUEpESjhyREdtZFpocF9nYWg3VE5Nc2ZjTERQcFFocWZXM3RHYVNIYV93YXhoZG1nRGV4MmdfRWJMOERsVHFxOXQ2SW4xVHpKcUNYeUh6Q1RuQkJQeUt6SURyR1R3MDlxWkRuV0NDamFhUkt4aXBnbGpza0ZWVHpVT29xOFc5OU1jLW5IbEttbA?oc=5
74|2026-09-16|stark|Insolvenzantrag|GNews Insolvenzantrag|Nachrichten der Woche - Air Baltics Insolvenzantrag, neue Golf-Carrier-Rechte, Lufthansas Dubai-Rückkehr - airliners.de|Nachrichten der Woche - Air Baltics Insolvenzantrag, neue Golf-Carrier-Rechte, Lufthansas Dubai-Rückkehr airliners.de|https://news.google.com/rss/articles/CBMimAFBVV95cUxNS2hqS1ZmblJ0SGh2NUJxX1BRR0c4ekNqWUF6X1paazhpQXVkTk95WldzZFpzU1JBTkRsUmFkSjVra21ZUXpLNG1ESDhNQmJncmNmRk5PTWIzejJtUm9pRGhkWnkzTnJfTkdTa2lMNlhKMl8yV2N4b2c0S2JLQ2duaDcxVGxIR2VFbnNQRjdvNDlDa2RCVDVDcA?oc=5
75|2026-09-16|stark|insolvent|GNews Insolvenzantrag|Weberknecht-Betreiber insolvent - Gastro.News|Weberknecht-Betreiber insolvent Gastro.News|https://news.google.com/rss/articles/CBMiYkFVX3lxTFBXQ25hd1FhLVRYcWhqb2xKSDBxNDlJYzNtakpqcEhyaWhwTFBPcURZUVluSldfaXVuQU5USVlnbURST0s0TjJDS0c1UUM4Z2ZDUl9zdGEzbXBGOEZocnlJOGtR?oc=5
