lauf=2026-09-19T08:33:38+00:00
137|2026-09-19|stark|Überschuldung|GNews Fruehsignal|Überschuldung: 5,67 Millionen Deutsche in Schuldenfalle - AD HOC NEWS|Überschuldung: 5,67 Millionen Deutsche in Schuldenfalle AD HOC NEWS|https://news.google.com/rss/articles/CBMipwFBVV95cUxPc3p0MlAyVUpQNl9xQ093enZlWXc2SkhqZ0RKZ1hrVm9MeXZNaS1XaWQ3U0gyVU9DWHhMelA1UzFPVDBLV05lckRJbTE1TmVNRXh5dUphR1NPcGRaOWYtNW03Wm1CT2l1VEZibmdydHRocEdxOHU4cnZYbzUzbHZudE9ralJQX0lOZDZ2TGhZLTh0MG1nM2ZRVV90TG9hdmp5ZEJMdjJyZw?oc=5
138|2026-09-18|stark|Überschuldung|GNews Fruehsignal|:newstime - Überschuldung steigt: Mütter besonders betroffen - Joyn|:newstime - Überschuldung steigt: Mütter besonders betroffen Joyn|https://news.google.com/rss/articles/CBMiqAFBVV95cUxQMHBLT3ZON252WEc3bzdpWTJkQ253aWZobGxvMmhOb3UyZER2anIwUzZqRFlZQ2Jsd3lFb2c0dkFpSXAxbEdvZHdzT3JZcHI2TFVBdS1pZHFIQVBzaVVrUVNwVi1JdWJRZkJDdlBNVnlnNEtKMEgtNzBGRlpaTXBoT3g1TGR3WWFDbHQ3STRBeUFFU0FkWXlDU3FsZ3BUTl9HYWIxTGdrZWE?oc=5
139|2026-09-17|stark|Zahlungsunfähigkeit|GNews Fruehsignal|Alarm bei Thüringer Hochschulen: „Dann droht uns die Zahlungsunfähigkeit“ - Thüringer Allgemeine|Alarm bei Thüringer Hochschulen: „Dann droht uns die Zahlungsunfähigkeit“ Thüringer Allgemeine|https://news.google.com/rss/articles/CBMi1gFBVV95cUxPNlg4N2UxMWZCTnRTN2Z0ZjJZVlJLX1BySkpRWjhMV2gwa1E3UHVxcldUX2dZRjFGUWt2U095Y05heS1kdkY2eUVFSGgxVmt4Zy1BOGdpelE2NThtdXlocVR0ZnlwVUVQbDZtODdFTUVCSEw5ZDRVbHZ2c2tUUEhrSUdPdGhtOFFodGFTNWVEV3FXc0ozVlJFQWhpaGFHSFJHZWxaMlhTdEVPbGFPREYzZmFjcjUyOHZvM1VHSWVaUThHd096Y2Z0SGNtVU5xU0tHY2pjT1Zn?oc=5
140|2026-09-17|stark|Moratorium|GNews Fruehsignal|Holetschek will Moratorium bei Pflegereform - Oldenburger Online Zeitung|Holetschek will Moratorium bei Pflegereform Oldenburger Online Zeitung|https://news.google.com/rss/articles/CBMirAFBVV95cUxNWXltWFdVbDhqLUFpbzc4bWMxc3B4bTd1YTh5dUpsTWRBMmRPMDRTTExfakNreVVDLTFLSWlDVmhQRFpWbzVuQXl5bnE4OEwzWkJXLU4xcHppSTZMZHVMTjg1WVVVMVBPUFViZHFTR0U5bnBEb2xBLUMzNnBydlVWRnNVdnYzWWZFNG83SmVZLUJlNG1DM2Jpamo0R2Z2RElpdWQ0eXZJM1NzNDBn?oc=5
141|2026-09-17|stark|Zahlungsunfähigkeit|GNews Fruehsignal|Ryanair will Passagieraufkommen im Baltikum nach Zahlungsunfähigkeit von airBaltic verdoppeln - Investing.com Deutsch|Ryanair will Passagieraufkommen im Baltikum nach Zahlungsunfähigkeit von airBaltic verdoppeln Investing.com Deutsch|https://news.google.com/rss/articles/CBMi6gFBVV95cUxQYmFENDhGMUp4TFVRbnJtbkt5aDhyTktLTDRDd1NEVWQ1SUlybnc3N05ZN3pQdUwxemJHMUpnMXREdnpSdXBoT3R1Tmh3bmNpMC0tc05USmVaajllT0tDRHJfSmVCV2hKUkdEWklDY0NCNEtqX0pLcGlLMG5MNFlLWlZLLWNOV05TNGxRQjA0d2dqZGs2S2R0YjQ1S25SUGJldzNBc096cDFoRWZKa3cxYmdsRVF4MmI0SGdnVUQ2VG9XTEY4UVhhWm5UNXNlSExUR0prR05vS2llSHZ4ZXhrUmpOREt4QU1Id0E?oc=5
142|2026-09-16|stark|Insolvenzverwalter|GNews Fruehsignal|Bad Königshofen: BSH Energie Bad Königshofen: Insolvenzverwalter macht Hoffnung auf Weiterbetrieb - Main-Post|Bad Königshofen: BSH Energie Bad Königshofen: Insolvenzverwalter macht Hoffnung auf Weiterbetrieb Main-Post|https://news.google.com/rss/articles/CBMi9AFBVV95cUxOWmRxaEhFTlFEMmZWZEpocDFvV2ZiWlgwaFJyNnYxU0p6MVVkMGRoeVZWSzJJMC1vMWlVamEwTVJEZG9NMVdYYWRfbDlUdnZRekx5NEUxNnFYRi1Cd2d5bV9JQkVlVktqUzVxREhPbFVSNC02ZE9RbXp1Q2NVcEF4cHA3NDZ0dnB5WUNIZG1oX0tNV0lLYzFoOGFiWXFvNUJqMUlxMnNuZWVYRk01T3JLNXAxOWpTdTh4QVZGX1NJeDVxV1lqWDFkUXZ0dWtjZzJIUEdRQ2lDS09KQldHWGFNU0ZKUFlpcFhOU2U1QXhMNWt6eUxR?oc=5
143|2026-09-18|schwach|Pleite|GNews Fruehsignal|Traditions-Tischlerei ist pleite: 26 Mitarbeiter betroffen - weekend.at|Traditions-Tischlerei ist pleite: 26 Mitarbeiter betroffen weekend.at|https://news.google.com/rss/articles/CBMiiAFBVV95cUxQbU5ZU2VBVk91Y3hYNXpDa0twWUVIM0x3d1pLbGswTkhLczZHaXN2R1RCcjFMWTZJRnFhMU9NNFk3aS1VVjdhN2RaX2NiSThvM1FuZGREdTJhcmJIUkw3RG9yZWo0VVVZNkhpM21RU2pyc1Vsd1BrUG9KTy01Q0F1LXV2RTNhc2Ro?oc=5
144|2026-09-17|stark|Moratorium|GNews Fruehsignal|Apollo Silver Aktie: Gemeinde stimmt über Bergbau-Moratorium ab - AD HOC NEWS|Apollo Silver Aktie: Gemeinde stimmt über Bergbau-Moratorium ab AD HOC NEWS|https://news.google.com/rss/articles/CBMi0AFBVV95cUxNX2hCMjZIRlRGYjY5YzU2ZGJZODltdjJvYXRCQU5sWi14ZURfSm0yVTBzVk03c1hHeGlWYUlSU2RIYUJSVWtETHNURS00b1BUeHJQTldEZE1PT24tUlNfdzRFRlhTTDVYa3RTMjE4SThvNGZoVEluOTA1ajgzTFdGblVtSjZIZGdYanBwWXJFWU8xRm5TZ2ZvTFFYTWczOWJ4ZTlzODhMTFdJMkZJTkt0N1Vpc01mclJmX1BreUxmeTlzTmw5ek04T2ctanl0S1RX?oc=5
145|2026-09-17|stark|Moratorium|GNews Fruehsignal|Pflegereform: Holetschek verlangt Moratorium für stationäre Pflege - AD HOC NEWS|Pflegereform: Holetschek verlangt Moratorium für stationäre Pflege AD HOC NEWS|https://news.google.com/rss/articles/CBMisAFBVV95cUxOR3Nzclk5NXU1bFVnRTFYSWJPMmY3WXl0M29OdEtJSGtvdkF2UW5lN2R0TjJfVzMyajlIajUzb2dpcWE3YXhycFppVmdPLVdqeUtINmFHLWVWZ2pYd19xQkNPcjFNV2hjdUtobC1lQUJLanlOOGlvRnE5X2ZiQXdTdUdnYk15MENRZ2pOaXdzdDBkWnpNU0h3V1ZEc0Y5OXpEU3R5b3h6UEdhYlB1RmMyTA?oc=5
146|2026-09-18|stark|Moratorium|GNews Fruehsignal|Kallas schlägt eine weitere Milliarde Euro für die militärische Unterstützung der Ukraine vor und kündigt Gespräche über ein Moratorium im Schwarzen M|Kallas schlägt eine weitere Milliarde Euro für die militärische Unterstützung der Ukraine vor und kündigt Gespräche über ein Moratorium im Schwarzen Meer an Informat.ro|https://news.google.com/rss/articles/CBMiogFBVV95cUxOZlJ2ODlBVHZ1Q3ZELXBoSnM3dWtiOGhUSHJQU2V4NlREdVRvSmJsYzRoS2VkY1lISWR1bUw3RWFZQS1OMWp4cEQ0aElnY2RuUjBQR1QxTWhJVDJoOVdYdmlqZU4wT1lNQzNGYnU0cUYwNW1IUEVyYWNUS2hfekVZSHhhRTNiaGpsVkFkMUxBRmJUYXFybTRDLUVGLUNCd3hjNFE?oc=5
