lauf=2026-09-20T13:06:01+00:00
37|2026-09-19|stark|insolvent|GNews Insolvenzantrag|Vier Filialen in Franken: Bäckerei ist insolvent – nach 263 Jahren - inFranken.de|Vier Filialen in Franken: Bäckerei ist insolvent – nach 263 Jahren inFranken.de|https://news.google.com/rss/articles/CBMiuwFBVV95cUxNV0NQZ3ptQ09UWFB1T2Y5S0lXdGp4aDlqNER5blA3Q3Z5UkxhcHZ2YWpPd2FEcThNTGczZHF4d2hKQWMzVUlNLWN0U2lqTHhQOThyU0kxN1FDR0pVVGpRVUg2X1NIeTJ6RC1BdE1HNTZIQzRobGgxYmJrVVNPcVBQbkVqS3pwZjR4d1o0ZkhZSU5DZVYxVFotMnN5U3V5QTRyMXlvLTFpblhuQUV1dGdwNUpvdWNkZVJmMVAw?oc=5
38|2026-09-18|stark|Insolvenzantrag|GNews Insolvenzantrag|Nach Kündigung durch Milchbauern: Molkerei Almil zieht Insolvenzantrag zurück - agrarheute.com|Nach Kündigung durch Milchbauern: Molkerei Almil zieht Insolvenzantrag zurück agrarheute.com|https://news.google.com/rss/articles/CBMiswFBVV95cUxOMVlhRnZrS0RIT0FmVzRta3BIckVBVjktOFdKOUQ5RHZ2VE5TRHE5ekdwVHBnd1JLNG9qemloQzR0aHN1Q1ZzMFJ5XzJiUEdHZjFucjhHX2Y0SnZZenh4c0VzR25pU2xSMVNkcUpoMHl3QjZwWHBqX1FPdC1QU0o0YUlBRTY2ZEJSUm9oNjVnaXBvZTdqUGNoeW9IRFNHSHRyU1JLaWxJLWdHQnNQbE5HNkh6Yw?oc=5
39|2026-09-19|stark|insolvent|GNews Insolvenzantrag|17:30 SAT.1 Bayern - Krise in der Autobranche: Zulieferer Plastic Manufacturing insolvent - joyn.de|17:30 SAT.1 Bayern - Krise in der Autobranche: Zulieferer Plastic Manufacturing insolvent joyn.de|https://news.google.com/rss/articles/CBMingFBVV95cUxPZm5nbHRhRURyazFZam1mWkJJcjlYSEVVMXJQMDctZW45azZNUGt5c0MzdWhjUnAyTksyTzBxWHFiX2Z4YnFvZDVyNFNhUGhQWGVvQk9JYUtCN1RTZGdVQzg1NXlTREQ1eXJsbGpsb21ZbXd3OTVQRzk2bERYLVhSTmFoLVBxMXVsNUFFaXkxTnZpMFp3NjRQci1LbGdIZw?oc=5
40|2026-09-18|stark|insolvent,Pleite|GNews Insolvenzantrag|Nach fast 160 Jahren die Pleite: Karosseriewerk für Spezialaufbauten insolvent - BILD|Nach fast 160 Jahren die Pleite: Karosseriewerk für Spezialaufbauten insolvent BILD|https://news.google.com/rss/articles/CBMi5gFBVV95cUxOdUZZamcyOGlEN0VPb0ozeEhzSHdKQ19hVGkyeFV4c1hVbHE5M3BFV3NwanNJQnhQQlNGNm9ZMmhQTWVkbTQ2MTF6S0RodVlzek1jQ01TTHZkU2Y3OXBGMnVfRFlNVkJoWnlYVDR0aXdyN0NZaGFLQU5OTzNRczNnX1VCZEJNMGI3U05pNnkzLTd2ZVVpN3lXdDJBQ0VyaGVxSmd5ZGJiTWRtb29BNXliU3l2MVVqUUhoSjJuSG1Jb2xhY2VnZEVpUG4wLUtaOHlQLUFCZHoyYy02M3VMTTNPbDl0ZVkwZw?oc=5
41|2026-09-17|stark|insolvent|GNews Insolvenzantrag|Insolvente Baumarktketten: Ausverkauf läuft bundesweit an - T-Online|Insolvente Baumarktketten: Ausverkauf läuft bundesweit an T-Online|https://news.google.com/rss/articles/CBMizgFBVV95cUxQYzN0N0FpaW1VV2Q5SzVRZ0JUNWFHc2U1eXE3OURmNjIzOEhEY2FNVloxVDRXc0hWbTdmWS1lWXcyOHBUdUthLUw1WHhaeFhuU0RacGQ3VjAzZnpKNFFUcFV4MEtSZmd2YXFMdjNEV3hHdzlLc2FfYXJVWkpkaW9heHlKV1A3b3o4Vkl3aEdGMDlxUVpoMUppTk9BRVBqb0hlMTBfUFhoWHN6blVsMkozN1oxVDdQdUhMbGtaWmdOYnZWOHdIaVNRQlBnRlEyQQ?oc=5
42|2026-09-18|stark|insolvent|GNews Insolvenzantrag|Millionen investiert, große Handelsketten beliefert – jetzt ist das Joghurtwerk insolvent - Nordkurier|Millionen investiert, große Handelsketten beliefert – jetzt ist das Joghurtwerk insolvent Nordkurier|https://news.google.com/rss/articles/CBMi0wFBVV95cUxNYjltaGNGclh5dWFWazRnNDN0TGItVFhMSk9jMjFVNncxNV9hWGFmWllCR3c3QWt5dmJDQUJSTGlCRHNUWGc4bE5Xd2xJODdaVXp0emlBT1NfTDIteWRvU1pZbDRaQU52NTZOLUtXTmV1V1NIdzRKN2l4OWxxQXRDZkVIdEdHNEZKU2ZyWVZ0ZFNzVkJGSnhHeEM0emo4bHFuOTdvT1RTZVNzQUV6TlJ4MmVZbFJBNnJBdHBMUm5oZGhjN3hfaGpzaXhVeG52Z2ZRZGRB?oc=5
43|2026-09-19|stark|insolvent|GNews Insolvenzantrag|Internationale Fluggesellschaft insolvent – trotz Lufthansa-Beteiligung - Merkur|Internationale Fluggesellschaft insolvent – trotz Lufthansa-Beteiligung Merkur|https://news.google.com/rss/articles/CBMiwwFBVV95cUxOUHVFd0Fkei0zNzc1T0NTbGFCdS1RYTBlNVI3dnBPMU53T3JUc1JZZ2c3Nk0tNHhmdUVNSW1kWjAzQ0VPNVNMUVpKc2EyYUQ1ZWtEaE5Zd2ctd25ydndjSTlscHprTE03bm1KSGhUVFlXRXNQdzRlNXBTc3NVWEZrLTdYNlUxMnV2UnA4NS0zWDItaS1odjJ1Z3JWSDh1YUN2OUM0eWEtTTVDd3F0d3Z5TlpUYTRkMTRjUGdBU3ZXMkwzREk?oc=5
44|2026-09-17|stark|insolvent|GNews Insolvenzantrag|Autohaus König insolvent: Kampf um Standorte und Jobs - Betrieb läuft weiter - Joyn|Autohaus König insolvent: Kampf um Standorte und Jobs - Betrieb läuft weiter Joyn|https://news.google.com/rss/articles/CBMinwFBVV95cUxQcUJoRkM0ZUFyMS00VmtxTGxBdFBBWHlKY19QbTFTWmFqNXFtd3hGTWRQUjRabzFzMFVBcGJXX3U3UEQ0bThmbmxIUmRyR01EekY0RVpDTXQ5X3RkV3VtRlV3c1dSMEUyeUsxajVGeDdaMm5aXzBvZGg4OTdsMG1BcXd3SDFURkxEYkxpTlhXdmE3UFpTb0tWQl9rWFd1TkE?oc=5
45|2026-09-18|stark|insolvent|GNews Insolvenzantrag|Baumarktkette insolvent: In diesen fränkischen Filialen locken jetzt Rabatte - inFranken.de|Baumarktkette insolvent: In diesen fränkischen Filialen locken jetzt Rabatte inFranken.de|https://news.google.com/rss/articles/CBMizwFBVV95cUxPSWVFbkUxNi1iamtZa0lPSFl5cXNZN3dkVkJSazBJbjB5VWdsbnVsYnhDVjVVTG9BUkhMVG5vS3F2UXc3YUdjZWs1dXlQU1RNdVNtUzhiRTlqc0owRTVyM3ZyWnVwNGZ5c2dRNjZwOUpkNmxzMTlZZTlMR0RtWnRCTi1kV3RIbUppdlVHQVREUF9HR1hBODFCQlBtV2lBNWZGak5scHBhVnZTV1RmMHlhUW5lWmUzWW1iUEJzMlpXQWV2LWgxeWpMekFtQzlLTXM?oc=5
46|2026-09-19|schwach|Insolvenz|GNews Insolvenzantrag|Insolvenz von Traditionsbäckerei aus Bayern : Familienbetrieb in fünfter Generation – so steht es um die Filialen - Merkur|Insolvenz von Traditionsbäckerei aus Bayern : Familienbetrieb in fünfter Generation – so steht es um die Filialen Merkur|https://news.google.com/rss/articles/CBMizwFBVV95cUxPSnJiYmlkNktNY1A1OTB0eXNOMWdwczZ5SzIwUWVmeW5GV3ppR3R6RXhzdUdfamZXN0dDOE9ITXlvU1VzNmFkR3FxT1FSRF9aRGQwV1hvOUVTV2VRNHkxSUZlTVNUSmg2aXN0LTNQa3NUTUVObm1Eb0lEVVFpX1pJRUpFa1I0TE5WYnlURUxhNVVQUjZQT0txS2lzY0E2SGlGcFI3SjJEbDFqOFdsX0xtTFVHOW50T2JySkFURGxDSEhRSndfaTkzLXBzYTJWMlk?oc=5
47|2026-09-18|stark|insolvent|GNews Insolvenzantrag|Firma hinter Fischer Air ist insolvent - Anklage gegen Václav Fischer - aeroTELEGRAPH|Firma hinter Fischer Air ist insolvent - Anklage gegen Václav Fischer aeroTELEGRAPH|https://news.google.com/rss/articles/CBMisgFBVV95cUxQdi1LWW5ZQ0VxdTNXbGVEVDI3eDg3VFdzTUU3MzktZDN2ajYyVE1IeTFrZ3hvMWV0c3Q2anc1Wlo4cTY0OE9NZzlSX19oM1JKM0dKZk9GeWdrbmdIbDN3WmR3SWhHNWxGYTQzSFJUc0REUVNCUjYwLUVhd29tYVdxeVVGSkphSjNib2VkVkc0ODBEV3lpR2Jvc29UMDVsYWxRZ1dQb0Z3UDNOMHBRSjRrQjJB?oc=5
48|2026-09-18|stark|insolvent|GNews Insolvenzantrag|Familienbetrieb in fünfter Generation insolvent: Traditionsbäckerei in Bayern kämpft ums Überleben - Rosenheim24|Familienbetrieb in fünfter Generation insolvent: Traditionsbäckerei in Bayern kämpft ums Überleben Rosenheim24|https://news.google.com/rss/articles/CBMipgFBVV95cUxNVHJ5aTRqeEFSb3pZdDhuWTZlT3kybGtaS3Q4ZnE4Mm56eDdkeV9PR0RtRWFsbGwyRXFnM1k3OG01TXExdldFZXotNzRFblVGRWltb3o1MlNQc0t3dlg3c1BnTjNYQl9Oc1NNRFBBWVUyalFqS1VieEdFVTVHSUxaT3Nlci1fVnZPOGlqNW4wTS1OaXFpN0liLTJ4LUNURTVxTGM1dTZ3?oc=5
49|2026-09-17|stark|Insolvenzantrag,stellt Insolvenzantrag|GNews Insolvenzantrag|Seukendorf: Traditionsbäckerei Gräf stellt Insolvenzantrag - Fürth Aktuell|Seukendorf: Traditionsbäckerei Gräf stellt Insolvenzantrag Fürth Aktuell|https://news.google.com/rss/articles/CBMipAFBVV95cUxQM2pnUy1HTExuSERGaXNIR0d0WUlHQnF2VjdNVHUtaGVSbGV1bTZXZHM0azZVMVp1SFkyWVVJVmlZak81VFVhLTZ0dWwtN3BReHN1dXVuQnJqbHZORnBVNEFfNmZtODVKMkFZYWNSSk0zYUVsSUZUOUFxLUNiSkRBOTBfelhZN3pWTXljZFkweEpiekpqZEZianJYamVpVW5IT3JGbQ?oc=5
50|2026-09-18|stark|Insolvenzantrag|GNews Insolvenzantrag|Insolvenzantrag von US-Franchisenehmer belastet Wendy’s Aktie - Investing.com Deutsch|Insolvenzantrag von US-Franchisenehmer belastet Wendy’s Aktie Investing.com Deutsch|https://news.google.com/rss/articles/CBMivAFBVV95cUxPa2ZMTGQwU1E4N2o4UGU2Mk5aVW5Jb2tuZy1tT1dQS0dZNHFNdk1kc0VOa1RDRFBsOEprRnJCaE81RkhZWDYtY1Z6X1ZxRVFDTzllLS0zLW95YzhZVDgyOFVySjJWcGNuaVVSTEJNTVF3bDNLb0V6WUFPeTBiZy02dW9Vcm5Ya2tzZkhlM21TOU93TDlBc0xHaUlqYnBwQTZsMFBja2ZJbkU1YUJlRFBNQzhJdl9KVUo4OFZtVg?oc=5
