lauf=2026-09-19T08:33:38+00:00
112|2026-09-18|stark|insolvent|GNews Verfahren/Verwalter|„Ungewöhnliche externe Umstände“: Wegen Sanktionen gegen Verbrecherboss? Zigarren-Importeur ist insolvent - merkur.de|„Ungewöhnliche externe Umstände“: Wegen Sanktionen gegen Verbrecherboss? Zigarren-Importeur ist insolvent merkur.de|https://news.google.com/rss/articles/CBMiswFBVV95cUxPQ3J4V2dacWxZdXVLVXQtcTZlNGhfcXdLQXBKV095YXJqblhjbEVyTmNLM0M0S1dzYWhFN3B6dE9fT0xXT25iTzFURmZjYWlCV0lqVjdtSnpjUHQ0YXI1eTdQcG1XQmlOT2NJbUs5NXloVkxQeFQ1TFRfQ1pmdmRfcFVjcHhNRWRlN1B5aUJNdnhWeDY0bHZuYnJ2N1lMcy1taDZLWWs4bE5oSVRXc0ItUTBIOA?oc=5
113|2026-09-16|stark|insolvent|GNews Verfahren/Verwalter|Familienbetrieb in fünfter Generation: Traditionsbäckerei ist insolvent - T-Online|Familienbetrieb in fünfter Generation: Traditionsbäckerei ist insolvent T-Online|https://news.google.com/rss/articles/CBMi0wFBVV95cUxQTTZYLUphd1lEQWluMmtVTWh2bXYyeUpxTmtwSlB3bThvNVliVnBkWTExQzJJclJjOW5wZTRiVE5oV2FXSmxIallHM09saExCVXdGWWtuazJvcmRyY2RlaFJFaUFmNHRDeG1DdVRQcVptMXRJaG9hV2tyWGN4cVZPZ0tGRTV5VHQyYjNvWHBBYnIyb0d0eVV0enlIODBFNUF3TDZBUVRobDR4aDRlSXBzLWhhRW44aW9Ea1NzVXNqbS15d1M3eVhkMkZ0VWZVUkVTVzRZ?oc=5
114|2026-09-16|stark|insolvent|GNews Verfahren/Verwalter|Celsius verklagt die insolvente BitMEX-Börse auf Rückgabe von 6.360 verlorenen Bitcoin - BeInCrypto|Celsius verklagt die insolvente BitMEX-Börse auf Rückgabe von 6.360 verlorenen Bitcoin BeInCrypto|https://news.google.com/rss/articles/CBMicEFVX3lxTE5RVjNhVDBxb0JYMm5UTlNnaHhUTGhGZW1lbjNRMG9fQ3VXSGxyZWVodm1CS1JKNDJiR1RuQms0WldZdTRjVV9oeEJoMThZRnVRajB4bGtZWlpVZ2V4WU9pMmx6NmFqQlZuVHVOdlEycjM?oc=5
115|2026-09-18|stark|Restrukturierungsplan|GNews Sanierung/StaRUG|Gericht genehmigt Restrukturierungsplan von Gauzy - Investing.com Deutsch|Gericht genehmigt Restrukturierungsplan von Gauzy Investing.com Deutsch|https://news.google.com/rss/articles/CBMiqAFBVV95cUxPWm1ZenVYcXBXcG9ONmpDTmZhY1B2R1IzQzNqWFJzWWlRWDRiSFAyc3o0MnN6Z0dpSmdPUWV4OHY1M0FQcGNYRHo2eHZvZTFsRncyOVlkSHIwUmd4QlFleHA4SGUySXdIRC1RckFYa0dNU3k0bDZ1anBxTGNwSk40TmJVRUJ3NGh5YnBNcHF1d21aRGtHZjU4ZzBZOUhnaThoNWt0cXlpYTQ?oc=5
116|2026-09-16|stark|Gläubigerausschuss,Insolvenz|GNews Sanierung/StaRUG|Insolvenz in Eigenverantwortung - Gläubigerausschuss billigt Sanierungsplan für Krankenhaus in Prüm - BibliomedManager|Insolvenz in Eigenverantwortung - Gläubigerausschuss billigt Sanierungsplan für Krankenhaus in Prüm BibliomedManager|https://news.google.com/rss/articles/CBMiqAFBVV95cUxOV1BpZnhxdEx4N0hQbGhVQTN2d2pDTTB5UUo3NmJoNDVIMW05U1A0T1NiNl90c2tma25vNTk2WkQxaXV2TlRUMU1KcW5zZjRPNURnUE1qNFNQck4zaFd0YmRrVERkU3p6N2J4QXo1RFFRQVhpU3RXbDZ4OHo0TlZGYlpOUm1XYVNXSjBGbWlhQ2ZJSFo4OHgyQVM0ZlNhbERMbm1JSmxOTkU?oc=5
117|2026-09-17|stark|StaRUG|GNews Sanierung/StaRUG|StaRUG: Geschäftsführer haften persönlich für fehlende Krisenerkennung - AD HOC NEWS|StaRUG: Geschäftsführer haften persönlich für fehlende Krisenerkennung AD HOC NEWS|https://news.google.com/rss/articles/CBMivAFBVV95cUxPWnNuSmlJWkExZ21mZFc5dTNTV2Q3SmpfMUdQYU1vM3Zmb0ZHSVZtX0JQUU9ZdXQwblQ3eUdhZjlpQXVFa09MaVR4MlVNWWw2QmxQZHJjdWFnNndLTUxsbkY5ZEtQTjdSZjlrUUtOdXRxRFpYejRuNThsNlVnWTJCcmpjM3lIbXJlRlIzNWIwSTlpY0NMYm9nbnpZSU91TzkyXzA2UGMxRzM4bmVCdWQ0UFN6QVl3cWF2V1ZKQw?oc=5
118|2026-09-17|stark|Restrukturierungsplan|GNews Sanierung/StaRUG|Volkswagen weiter auf Kaufen: Berenberg verweist auf laufenden Restrukturierungsplan - MarketScreener Deutschland|Volkswagen weiter auf Kaufen: Berenberg verweist auf laufenden Restrukturierungsplan MarketScreener Deutschland|https://news.google.com/rss/articles/CBMi4wFBVV95cUxPbHpfeXNpTGM2RXZvelM1VFdhYmpNS1lmZC1mUWtCOGNFZ2NGaDR1ZmJ3eV9McnUzeUdhY3NzSTVsenExWi1wRGFQVVdTcnRaUUlRT0FSZU9zanpBMXlxQlYxb0w2NEdCZzJIR0txN0hlTmJsOEhZaWNTNGhXM2ptei1faDV4T3NDczVibUtnNC1mTy1NVWtLNUtHM09MSVpWZzNZMUZ0Ym85YU1pMGIxMFBwV19OU2hGclNKbkNWb0VxTkdNNHJiTU9UR3hkYnMzRDlCcW5mUHlpV1l6NVY4SWEtaw?oc=5
119|2026-09-18|stark|Sanierungsverfahren|GNews Sanierung/StaRUG|Sanierungsverfahren für TRIPUS Haustechnik in Ilz eröffnet - nachrichten.jetzt|Sanierungsverfahren für TRIPUS Haustechnik in Ilz eröffnet nachrichten.jetzt|https://news.google.com/rss/articles/CBMimwFBVV95cUxNbk92VU9iV0owdjJ4bm9SazlxNUxWZzJLQkc0VzZiZl9MMGtwWVN2VmFQYlRGRFdMa2k4TEMyYzFCblktQkpSbmlzdVhEX1kzb0NWNy1NakN6X0VjTDl0WlVrNGNzOUpJSS1SS05YN2VYT3NWa1YtRFFBMmY1NnBjSUxEdFNLaDdsZDNLVGZCOXZWXy1CVUtYamdwTQ?oc=5
120|2026-09-18|schwach|Pleite|GNews Sanierung/StaRUG|Traditions-Tischlerei ist pleite: 26 Mitarbeiter betroffen - weekend.at|Traditions-Tischlerei ist pleite: 26 Mitarbeiter betroffen weekend.at|https://news.google.com/rss/articles/CBMiiAFBVV95cUxQbU5ZU2VBVk91Y3hYNXpDa0twWUVIM0x3d1pLbGswTkhLczZHaXN2R1RCcjFMWTZJRnFhMU9NNFk3aS1VVjdhN2RaX2NiSThvM1FuZGREdTJhcmJIUkw3RG9yZWo0VVVZNkhpM21RU2pyc1Vsd1BrUG9KTy01Q0F1LXV2RTNhc2Ro?oc=5
121|2026-09-17|stark|Restrukturierungsplan|GNews Sanierung/StaRUG|Codelcos Restrukturierungsplan in Chile könnte bis Ende 2026 dauern - aktien.news|Codelcos Restrukturierungsplan in Chile könnte bis Ende 2026 dauern aktien.news|https://news.google.com/rss/articles/CBMilgFBVV95cUxQTHg1NFRlMWE1cFZ3bE5fUzJtMWtaYWlxa2RjNU5oWFhRSXVza0lIX0d1TUZQRXIxRE1iSWFCQjRqc1c3dVp4MXdVXzRSUm5TTHBDNHd4OU9QNktLRFp1MnlNTTNqVHU5NkFMWmFZNEhVUjRNRVQwTGZwVTJBS2xZeHI0TWVFelg4d3Q1TEhaLUVzbm1DNFE?oc=5
122|2026-09-16|stark|Restrukturierungsplan|GNews Sanierung/StaRUG|BayWa sichert sich Term Sheet für angepassten Restrukturierungsplan mit Gläubigern und Großaktionären - MarketScreener Deutschland|BayWa sichert sich Term Sheet für angepassten Restrukturierungsplan mit Gläubigern und Großaktionären MarketScreener Deutschland|https://news.google.com/rss/articles/CBMi_wFBVV95cUxQZzBjWmYwSkp2UWhndklIQzQ0REZqd3p0Ymw5ZVY3VWtfY0xBV3VKamxrUTdTT2JYZS1zT04zWXZMaEUzdl9OdFptdWZ0SmNIem1vdW9ENHFVYjFfQV9iQlQ5SnpDNnpIeHFMd05fTGFTMkxqWmdsdWY5MGJUQ1VEcllwVEtCTFBrWW5VWWhURHV3NDIyaEVLTDhINDNiT2ZzZ0g1TEVCZ2ZvRUtPRG5hTnhQUVQ5bE1GaUh4bDdJcWRkWWozbUFyaUhmWlZSZUxvYmFlX1RFa05jMjRjTmppNDlUenFSUGNOZXdVQnBrRFI2WDJkQXlzV3hSV3VZODg?oc=5
123|2026-09-18|stark|Sanierungsverfahren|GNews Sanierung/StaRUG|Sanierungsverfahren über Möbelhersteller in Kirchbach eröffnet - nachrichten.jetzt|Sanierungsverfahren über Möbelhersteller in Kirchbach eröffnet nachrichten.jetzt|https://news.google.com/rss/articles/CBMiogFBVV95cUxQeGJTWkxFdTdFVXFYR0NiQkdPZVNxb21ocjNZY1FBY0hyeTJuVGNzMFVPQkVMMUlxZVhBZ2k4NXJLOEpwTjg2NzZTR3lMai1jemZsSHhMUkVwcXJ5ODBmUElkY2p6NS1rZlpCTU9GWHhuYmtSSWJrbVZQdjczQVE2OXluWW1vUHpPTThjZzFOTWxXa3p6VFoySW9waU5ocDV6dEE?oc=5
124|2026-09-16|stark|Restrukturierungsplan|GNews Sanierung/StaRUG|Chiles staatlicher Bergbaukonzern Codelco: Restrukturierungsplan könnte sich bis Ende 2026 verzögern - MarketScreener Schweiz|Chiles staatlicher Bergbaukonzern Codelco: Restrukturierungsplan könnte sich bis Ende 2026 verzögern MarketScreener Schweiz|https://news.google.com/rss/articles/CBMi-wFBVV95cUxNdHE5Sm1KXzQ1YWZGY1pNcTMwRU8xeEVDaVcwOENQVmRPUmtxMWVQV2NRU25JYkhxR0d5UW91VHpYUU0wY0ZPVEZHSkJBOWc5SWRLYTQ3bkV5NXVRd2t3U0FXRXo3T3BKUjE3c003RmRZWHAzR2RaM1psaDBROGNCUl92Q1VIMG5WQzU0bjc0RHVVaGpHMjdmU2wwSVVnQ1YyblhRT0lmQ09DdWZDb2hfbmJ6ZExIRzZnYk9xMlJ5SEhsbWdsNDZxXzZaMk1PckloVXJtOTg4SHZRdXJZR3lQeEVmNVJKcG1WTEo4V3h1YXVzRnFtYnJCQlA4Yw?oc=5
125|2026-09-18|schwach|Insolvenz|GNews Sanierung/StaRUG|Nach Hellweg-Insolvenz übernimmt Hornbach sechs Baumarkt-Standorte – „kurzfristig Chancen ergeben“ - CHIP|Nach Hellweg-Insolvenz übernimmt Hornbach sechs Baumarkt-Standorte – „kurzfristig Chancen ergeben“ CHIP|https://news.google.com/rss/articles/CBMigAJBVV95cUxPNEc2b1FReGdCa3VjNXEwWG9QeVVqcTBwR3p4dGlIMkd0Qi1hdWZRVnQyQXhtZ0xRdUpzZ3Z6U3hrU1dwYzkyVU1xazNkbEZlY3k3Wld3aUkxSjBjTUhUWU1TU2FIc3ZsRVVuMndnbV83aFNZOGx2UUVhZlpBYUxvcV92OW1ISW1jRFRrekN1eG5lem81YXNVbWtKb3BkdUp1N2xZZjJvdXZmMjdobVpkZm1MbVVPZzV5M3NVcEtxa2xBSXpUXzZaSHN6aVA5cUtGdUZOd1BzY2xKdTExSkJ6YWxoRF9FNkVjb1lQNmFlZFhZMWpYM1JCTHgwTWRmWkxC?oc=5
